,avgSeatView,avgShowView,boxRate,boxSplitUnit,movieInfo,showCount,showCountRate,splitBoxRate,splitBoxSplitUnit,sumBoxDesc,sumSplitBoxDesc
0,0.5%,1,33.1%,2572400,长津湖之水门桥,66426,18.8%,34.5%,2472000,39.27亿,36.27亿
1,0.8%,1,13.0%,1014700,花束般的恋爱,30548,8.6%,12.5%,899400,5943.5万,5234.4万
2,0.2%,1,11.1%,865800,这个杀手不太冷静,65926,18.7%,11.0%,792800,25.28亿,23.12亿
3,0.3%,1,9.2%,719400,奇迹·笨小孩,49708,14.1%,9.1%,652300,13.23亿,12.09亿
4,0.5%,1,8.0%,622200,熊出没·重返地球,26054,7.4%,7.9%,569100,9.37亿,8.60亿
5,0.8%,1,6.2%,482600,我们的冬奥,15475,4.3%,6.0%,436000,5582.2万,5117.4万
6,0.2%,1,4.3%,333600,狙击手,31311,8.8%,4.2%,303100,5.73亿,5.26亿
7,0.4%,1,3.3%,260700,尼罗河上的惨案,10704,3.0%,3.2%,230200,6290.3万,5662.5万
8,0.2%,1,2.3%,185400,柳浪闻莺,15530,4.4%,2.3%,167500,206.5万,188.7万
9,0.4%,1,1.7%,135900,纽约的一个雨天,7434,2.1%,1.7%,122200,1003.8万,898.8万
10,0.5%,1,1.3%,105700,喜羊羊与灰太狼之筐出未来,5327,1.5%,1.3%,95399,1.58亿,1.44亿
11,0.9%,1,1.0%,78300,我心飞扬,2405,0.6%,1.0%,72100,569.3万,531.8万
12,8.5%,9,0.5%,43600,跨过鸭绿江,154,<0.1%,0.5%,41900,1.03亿,1.02亿
13,0.2%,1,0.5%,42400,好想去你的世界爱你,5117,1.4%,0.5%,38600,1.05亿,9620.9万
14,0.2%,1,0.5%,39900,四海,4777,1.3%,0.5%,36200,5.38亿,4.86亿
15,1.0%,2,0.4%,34700,汪汪队立大功大电影,942,0.2%,0.4%,31000,8211.9万,7271.1万
16,39.5%,26,0.3%,25900,邓小平小道,27,<0.1%,0.3%,23800,1401.1万,1397.3万
17,0.1%,1,0.3%,25099,你是我的一束光,6358,1.8%,0.3%,22500,334.7万,313.8万
18,0.2%,1,0.2%,16700,大国粮仓,2297,0.6%,0.2%,15300,41.4万,40.7万
19,0.5%,1,0.1%,14300,今年过年就结婚,841,0.2%,0.1%,12900,18.9万,16.8万
