,avgSeatView,avgShowView,boxRate,boxSplitUnit,movieInfo,showCount,showCountRate,splitBoxRate,splitBoxSplitUnit,sumBoxDesc,sumSplitBoxDesc
0,2.0%,4,40.5%,8324700,长津湖之水门桥,64601,19.9%,41.6%,7879600,39.01亿,36.02亿
1,0.9%,2,16.7%,3435100,这个杀手不太冷静,65155,20.1%,16.5%,3142200,25.05亿,22.91亿
2,1.0%,2,11.0%,2265500,奇迹·笨小孩,49497,15.2%,10.8%,2052000,13.07亿,11.95亿
3,1.7%,2,9.3%,1929100,花束般的恋爱,29765,9.1%,8.9%,1696399,4933.4万,4345.0万
4,1.1%,2,7.7%,1598300,狙击手,32954,10.1%,7.7%,1461300,5.65亿,5.19亿
5,0.9%,2,2.7%,554100,尼罗河上的惨案,12032,3.7%,2.6%,499000,5991.8万,5395.4万
6,1.0%,2,2.4%,506400,熊出没·重返地球,11765,3.6%,2.4%,464099,9.29亿,8.52亿
7,0.8%,1,1.6%,329300,纽约的一个雨天,9764,3.0%,1.5%,294200,868.9万,777.8万
8,0.7%,1,1.1%,227500,我们的冬奥,7794,2.4%,1.0%,205000,5203.0万,4772.5万
9,0.9%,1,1.0%,217500,四海,5959,1.8%,1.0%,199000,5.37亿,4.85亿
10,0.5%,1,0.8%,179600,你是我的一束光,8326,2.5%,0.8%,167100,284.5万,265.4万
11,0.7%,1,0.7%,157000,好想去你的世界爱你,5943,1.8%,0.7%,142300,1.05亿,9550.1万
12,0.9%,1,0.6%,139700,大国粮仓,4419,1.3%,0.6%,125200,25.6万,24.1万
13,0.3%,1,0.3%,71700,我心飞扬,4716,1.4%,0.3%,66200,537.5万,501.8万
14,0.9%,1,0.3%,65700,喜羊羊与灰太狼之筐出未来,2168,0.6%,0.3%,59700,1.57亿,1.43亿
15,19.9%,23,0.2%,52100,邓小平小道,69,<0.1%,0.2%,47500,1386.1万,1382.5万
16,8.2%,9,0.2%,50199,跨过鸭绿江,163,<0.1%,0.2%,46900,1.03亿,1.01亿
17,0.4%,1,0.1%,39600,今年过年就结婚,2973,0.9%,0.1%,35100,4.8万,4.4万
18,23.4%,26,0.1%,33300,我的父亲焦裕禄,32,<0.1%,0.1%,33100,3294.2万,3276.3万
19,16.3%,14,0.1%,26000,高铁作证,65,<0.1%,0.1%,24300,166.7万,166.1万
20,3.3%,4,<0.1%,18300,浴血誓言,155,<0.1%,<0.1%,16700,9.5万,9.1万
21,0.3%,1,<0.1%,14600,密案1922,1497,0.4%,<0.1%,13200,265.5万,239.1万
22,0.3%,1,<0.1%,14600,十年一品温如言,1275,0.3%,<0.1%,13400,1.66亿,1.51亿
23,0.3%,1,<0.1%,12600,不要忘记我爱你,1009,0.3%,<0.1%,11600,5578.4万,5047.0万
24,1.2%,2,<0.1%,10600,汪汪队立大功大电影,313,<0.1%,<0.1%,9400,8190.7万,7252.0万
